2025-10-09 11:24:12 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:12 | WARNING | aiogram.dispatcher | Sleep for 4.965173 seconds and try again... (tryings = 45, bot id = 8358955738)
2025-10-09 11:24:17 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:17 | WARNING | aiogram.dispatcher | Sleep for 4.960559 seconds and try again... (tryings = 46, bot id = 8358955738)
2025-10-09 11:24:23 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:23 | WARNING | aiogram.dispatcher | Sleep for 4.888345 seconds and try again... (tryings = 47, bot id = 8358955738)
2025-10-09 11:24:28 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:28 | WARNING | aiogram.dispatcher | Sleep for 4.916924 seconds and try again... (tryings = 48, bot id = 8358955738)
2025-10-09 11:24:33 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:33 | WARNING | aiogram.dispatcher | Sleep for 5.065735 seconds and try again... (tryings = 49, bot id = 8358955738)
2025-10-09 11:24:38 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:24:38 | WARNING | aiogram.dispatcher | Sleep for 4.975551 seconds and try again... (tryings = 50, bot id = 8358955738)
2025-10-09 11:26:22 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:22 | WARNING | aiogram.dispatcher | Sleep for 4.966945 seconds and try again... (tryings = 51, bot id = 8358955738)
2025-10-09 11:26:27 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:27 | WARNING | aiogram.dispatcher | Sleep for 5.007760 seconds and try again... (tryings = 52, bot id = 8358955738)
2025-10-09 11:26:32 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:32 | WARNING | aiogram.dispatcher | Sleep for 5.079859 seconds and try again... (tryings = 53, bot id = 8358955738)
2025-10-09 11:26:37 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:37 | WARNING | aiogram.dispatcher | Sleep for 4.971157 seconds and try again... (tryings = 54, bot id = 8358955738)
2025-10-09 11:26:42 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:42 | WARNING | aiogram.dispatcher | Sleep for 5.134386 seconds and try again... (tryings = 55, bot id = 8358955738)
2025-10-09 11:26:48 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:48 | WARNING | aiogram.dispatcher | Sleep for 4.841411 seconds and try again... (tryings = 56, bot id = 8358955738)
2025-10-09 11:26:53 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:53 | WARNING | aiogram.dispatcher | Sleep for 5.048936 seconds and try again... (tryings = 57, bot id = 8358955738)
2025-10-09 11:26:58 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:26:58 | WARNING | aiogram.dispatcher | Sleep for 4.961184 seconds and try again... (tryings = 58, bot id = 8358955738)
2025-10-09 11:27:03 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:03 | WARNING | aiogram.dispatcher | Sleep for 4.987243 seconds and try again... (tryings = 59, bot id = 8358955738)
2025-10-09 11:27:08 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:08 | WARNING | aiogram.dispatcher | Sleep for 4.997290 seconds and try again... (tryings = 60, bot id = 8358955738)
2025-10-09 11:27:13 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:13 | WARNING | aiogram.dispatcher | Sleep for 5.044013 seconds and try again... (tryings = 61, bot id = 8358955738)
2025-10-09 11:27:18 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:18 | WARNING | aiogram.dispatcher | Sleep for 5.083499 seconds and try again... (tryings = 62, bot id = 8358955738)
2025-10-09 11:27:23 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:23 | WARNING | aiogram.dispatcher | Sleep for 4.902569 seconds and try again... (tryings = 63, bot id = 8358955738)
2025-10-09 11:27:29 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:29 | WARNING | aiogram.dispatcher | Sleep for 4.866340 seconds and try again... (tryings = 64, bot id = 8358955738)
2025-10-09 11:27:33 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:33 | WARNING | aiogram.dispatcher | Sleep for 5.004943 seconds and try again... (tryings = 65, bot id = 8358955738)
2025-10-09 11:27:39 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:39 | WARNING | aiogram.dispatcher | Sleep for 5.032563 seconds and try again... (tryings = 66, bot id = 8358955738)
2025-10-09 11:27:44 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:44 | WARNING | aiogram.dispatcher | Sleep for 4.968941 seconds and try again... (tryings = 67, bot id = 8358955738)
2025-10-09 11:27:49 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:27:49 | WARNING | aiogram.dispatcher | Sleep for 5.086164 seconds and try again... (tryings = 68, bot id = 8358955738)
2025-10-09 11:28:33 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:28:33 | WARNING | aiogram.dispatcher | Sleep for 4.986743 seconds and try again... (tryings = 69, bot id = 8358955738)
2025-10-09 11:30:37 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:30:37 | WARNING | aiogram.dispatcher | Sleep for 4.936943 seconds and try again... (tryings = 70, bot id = 8358955738)
2025-10-09 11:30:42 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:30:42 | WARNING | aiogram.dispatcher | Sleep for 4.999407 seconds and try again... (tryings = 71, bot id = 8358955738)
2025-10-09 11:30:47 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:30:47 | WARNING | aiogram.dispatcher | Sleep for 5.104650 seconds and try again... (tryings = 72, bot id = 8358955738)
2025-10-09 11:30:52 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:30:52 | WARNING | aiogram.dispatcher | Sleep for 4.987935 seconds and try again... (tryings = 73, bot id = 8358955738)
2025-10-09 11:30:58 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:30:58 | WARNING | aiogram.dispatcher | Sleep for 5.145014 seconds and try again... (tryings = 74, bot id = 8358955738)
2025-10-09 11:31:03 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:31:03 | WARNING | aiogram.dispatcher | Sleep for 5.029714 seconds and try again... (tryings = 75, bot id = 8358955738)
